UNITID,INSTNM,WEBADDR
197850,South Piedmont Community College,https://www.spcc.edu/
197984,Belmont Abbey College,www.belmontabbeycollege.edu/
198109,Cabarrus College of Health Sciences,www.atriumhealth.org/education/cabarrus-college-of-health-sciences
198215,Catawba College,www.catawba.edu/
198260,Central Piedmont Community College,www.cpcc.edu/
198570,Gaston College,www.gaston.edu/
198987,Mitchell Community College,https://mitchellcc.edu/
199139,University of North Carolina at Charlotte,https://www.uncc.edu/
199412,Queens University of Charlotte,www.queens.edu/
199494,Rowan-Cabarrus Community College,https://www.rccc.edu/
199962,Wingate University,https://www.wingate.edu/
218672,University of South Carolina-Lancaster,www.sc.edu/about/system_and_campuses/lancaster/index.php
218991,York Technical College,www.yorktech.edu/
433174,Carolinas College of Health Sciences,www.carolinascollege.edu/
451352,Southeastern College-Charlotte,www.southeasterninstitute.com/
489344,Chamberlain University-North Carolina,https://www.chamberlain.edu/
